question,answer
Who should the accused approach if they are not satisfied with the information provided by the psychiatric or clinical psychologist?,They may prefer an appeal before the Medical Board.,
Who does the Medical Board consist of?,The Medical Board consists of the head of psychiatry unit in the nearest government hospital and a faculty member in psychiatry in the nearest medical college.,
Who holds the positions in the Medical Board related to the head of psychiatry unit in the nearest government hospital and a faculty member in psychiatry in the nearest medical college?,The head of psychiatry unit in the nearest government hospital and a faculty member in psychiatry in the nearest medical college are part of the Medical Board.,
What can the Magistrate do pending such examination and inquiry?,The Magistrate may deal with such person in accordance with the provisions of section 330.,
"According to the provisions of section 330, who can deal with the person pending examination and inquiry?",The Magistrate can deal with such person.,
What happens if the Magistrate is informed that the person referred to in sub-section (1A) is a person of unsound mind?,"The Magistrate shall further determine whether the unsoundness of mind renders the accused incapable of entering defence. If found so, the Magistrate shall record a finding to that effect.",
What does the Magistrate do when they are informed that the person referred to in sub-section (1A) is of unsound mind and they have to determine if this unsoundness affects the person's ability to enter a defence?,"The Magistrate shall further determine whether the unsoundness of mind renders the accused incapable of entering defence. If found so, the Magistrate shall record a finding to that effect.",
What does the Magistrate do after recording a finding that the accused is incapable of entering defence?,The Magistrate shall examine the record of evidence produced by the prosecution and after hearing the advocate.,
"What does the Magistrate do after finding the accused incapable of entering defence, in terms of examining records and hearing the advocate?",The Magistrate examines the record of evidence produced by the prosecution and hears the advocate.,
What should the Magistrate do if no prima facie case is made against the accused?,"The Magistrate should discharge the accused and deal with him in the manner provided under section 330, without postponing the enquiry.",
What should the Magistrate do under section 330 if no prima facie case is made against the accused?,The Magistrate should discharge the accused and deal with him without postponing the enquiry.,
What is the Magistrate's course of action if a prima facie case is made out against an accused found to be of unsound mind?,"The Magistrate shall postpone the proceeding for such period, as in the opinion of the psychiatrist or clinical psychologist, is required for the treatment of the accused, and order the accused to be dealt with as provided under section 330.",
What should the Magistrate do under section 330 if an accused of unsound mind has a prima facie case made out against them?,"The Magistrate shall postpone the proceeding for such period, as in the opinion of the psychiatrist or clinical psychologist, is required for the treatment of the accused.",
What if the person referred in sub-section (1A) is a person with mental retardation?,The Magistrate shall further determine whether the mental retardation renders the accused incapable of entering defense.,
What should the Magistrate do if the person referred in sub-section (1A) is found to have mental retardation that renders them incapable of entering defense?,The Magistrate shall further determine whether the mental retardation renders the accused incapable of entering defense.,
What is the procedure if a person of unsound mind is tried before a court?,"If at the trial of any person before a Magistrate or Court of Session, it appears that such person is of unsound mind and consequently incapable of making his defence, the Magistrate or Court shall, in the first instance, try the fact of such unsoundness and incapacity. If the Magistrate or Court, after considering medical and other evidence, is satisfied of the fact, he or it shall record a finding to that effect and postpone further proceedings in the case.",
What happens when a person appearing to be of unsound mind is tried before a Magistrate or Court of Session?,"If at the trial of any person before a Magistrate or Court of Session, it appears that such person is of unsound mind and consequently incapable of making his defence, the Magistrate or Court shall, in the first instance, try the fact of such unsoundness and incapacity. If the Magistrate or Court, after considering medical and other evidence, is satisfied of the fact, he or it shall record a finding to that effect and postpone further proceedings in the case.",
"What happens if during trial, the Magistrate or Court of Sessions finds the accused to be of unsound mind?","If during trial, the Magistrate or Court of Sessions finds the accused to be of unsound mind, he or it shall refer such person to a psychiatrist or clinical psychologist for care and treatment.",
What action is taken by the Magistrate or Court of Sessions if the accused is found to be of unsound mind during trial?,The Magistrate or Court of Sessions refers such person to a psychiatrist or clinical psychologist for care and treatment.,
What happens if an accused is found incapable during an inquiry by the Magistrate?,If the accused is found incapable the Magistrate shall order closure of the inquiry and deal with the accused in the manner provided under section 330.,
What action does the Magistrate take if an accused is found incapable during an inquiry?,The Magistrate shall order closure of the inquiry and deal with the accused in the manner provided under section 330.,
Who is required to report to the Magistrate or Court if the accused is suffering from unsoundness of mind?,The psychiatrist or clinical psychologist,
Who should report to the Magistrate or Court if the accused is suffering from unsoundness of mind?,The psychiatrist or clinical psychologist,
What can the accused do if they are aggrieved by the information given by the psychiatrist or clinical psychologist?,They may prefer an appeal before the Medical Board,
Who can the accused appeal to if they are unhappy with the information provided by the psychiatrist or clinical psychologist?,They can appeal before the Medical Board,
Who comprises the Medical Board?,The head of psychiatry unit in the nearest government hospital and a faculty member in psychiatry in the nearest medical college,
What roles do the head of psychiatry unit in the nearest government hospital and a faculty member in psychiatry in the nearest medical college play?,They comprise the Medical Board,
What happens if the Magistrate or Court is informed that the person referred to in sub-section (1A) is a person of unsound mind?,The Magistrate or Court shall further determine whether unsoundness of mind renders the accused incapable of entering defence,
What does the Magistrate or Court determine when informed that the person referred to in sub-section (1A) is a person of unsound mind?,They determine whether unsoundness of mind renders the accused incapable of entering defence,
What happens if the accused is found incapable of entering defence due to unsoundness of mind?,The Magistrate or Court shall record a finding to that effect and shall examine the record of evidence produced by the prosecution and after hearing the advocate of the accused but without question,
What is the procedure when an accused is proven to be incapable of entering defence due to mental unsoundness?,The Magistrate or Court shall record a finding to that effect and shall examine the record of evidence produced by the prosecution and after hearing the advocate of the accused but without question,
What should the Magistrate or Court do if no prima facie case is made against the accused?,"If no prima facie case is made out against the accused, the Magistrate or Court shall discharge the accused and deal with him in the manner provided under section 330.",
What does the Magistrate or Court do with an accused person under section 330 if there is no prima facie case made out against them?,"If no prima facie case is made out against the accused, the Magistrate or Court shall discharge the accused and deal with him in the manner provided under section 330.",
What should the Magistrate or Court do if a prima facie case is made out against the accused who is found to be of unsound mind?,"If a prima facie case is made out against the accused in respect of whom a finding of unsound mind is arrived at, the Magistrate or Court shall postpone the trial for such period, as in the opinion of the psychiatrist or clinical psychologist, is required for the treatment of the accused.",
"What should be done if a prima facie case is established against an accused found to be of unsound mind, according to the discretion of a psychiatrist or clinical psychologist?","The Magistrate or Court shall postpone the trial for such period as is required for the treatment of the accused, as per the opinion of the psychiatrist or clinical psychologist.",
What should the Magistrate or Court do if a prima facie case is made out against the accused and he is incapable of entering defence due to mental retardation?,"If a prima facie case is made out against the accused and he is incapable of entering defence by reason of mental retardation, the Magistrate or Court shall not hold the trial and order the accused to be dealt with in accordance with section 330.",
"What should the Magistrate or Court do if a prima facie case is made out against an accused who is incapable of defence due to mental retardation, according to section 330?",The Magistrate or Court shall not hold the trial and order the accused to be dealt with in accordance with section 330.,
What does section 330 state?,"Section 330 states that whenever a person is found under section 328 or section 329 to be incapable of entering defence due to mental incapacity, they should be released pending investigation or trial.",
Under which section is a person released pending investigation or trial if they are found incapable of entering defence due to mental incapacity?,A person is released pending investigation or trial under section 330 if they are found incapable of entering defence due to mental incapacity.,
What is the condition for the release of a person claiming defence by reason of unsoundness of mind or mental retardation?,The person can be released on bail if they are suffering from unsoundness of mind or mental retardation which does not mandate in-patient treatment and a friend or relative undertakes to obtain regular out-patient psychiatric treatment from the nearest medical facility and to prevent them from doing injury to themselves or to any other person.,
Under what circumstances can a person suffering from unsoundness of mind or mental retardation be released on bail?,A person claiming defence by reason of unsoundness of mind or mental retardation can be released on bail if their condition does not require in-patient treatment and a friend or relative promises to get them regular out-patient psychiatric treatment from the nearest medical facility and to stop them from causing harm to themselves or anyone else.,
What happens if the Magistrate or Court believes that bail cannot be granted or an appropriate undertaking is not given?,"The Magistrate or Court shall order the accused to be kept in a place where regular psychiatric treatment can be provided, and shall report the action taken to the State Government.",
What will the Magistrate or Court do if they find that bail cannot be granted or an appropriate undertaking is not given to the accused?,"The Magistrate or Court shall order the accused to be kept in a place where regular psychiatric treatment can be provided, and shall report the action taken to the State Government.",
Can the accused be detained in a lunatic asylum?,No order for the detention of the accused in a lunatic asylum shall be made otherwise than in accordance with the law.,
How can an order for the detention of the accused in a lunatic asylum be made?,An order for the detention of the accused in a lunatic asylum can only be made in accordance with the law.,
What is the role of the Magistrate or Court when a person is found incapable of entering defence due to unsoundness of mind or mental retardation under section 328 or section 329?,"The Magistrate or Court shall determine if the release of the accused can be ordered, considering the nature of the act committed and the extent of the unsoundness of mind or mental retardation.",
What does the Magistrate or Court determine when a person is found incapable of entering defence due to unsoundness of mind or mental retardation under section 328 or section 329?,"The Magistrate or Court determines if the release of the accused can be ordered, considering the nature of the act committed and the extent of the unsoundness of mind or mental retardation.",
What can trigger the release of an accused person under section 328 or section 329?,"The release can be ordered if, on the basis of a medical opinion or the opinion of a specialist, the Magistrate or Court decides to discharge the accused and if sufficient security is given that the accused shall be prevented from doing injury to himself.",
Under what conditions can a Magistrate or Court decide to discharge an accused person under section 328 or 329?,"A Magistrate or Court can decide to discharge the accused under section 328 or 329 if, on the basis of a medical opinion or the opinion of a specialist, they find it necessary, and if sufficient security is given that the accused shall be prevented from doing injury to himself.",
Under what Act are rules made for the State Government?,"The rules are made under the Mental Health Act, 1987.",
Under which Act are the rules for the State Government made?,"The rules are made under the Mental Health Act, 1987.",
What can be ordered if the Magistrate or Court believes discharge of the accused cannot be ordered?,The transfer of the accused to a residential facility for persons of unsound mind or mental retardation may be ordered wherein the accused may be provided care and appropriate education and training.,
What happens when the Magistrate or Court orders the transfer of the accused to a residential facility for persons of unsound mind or mental retardation?,"In such cases, the accused may be provided care and appropriate education and training.",
What can the Magistrate or Court do whenever an inquiry or a trial is postponed under section 328 or section 329?,"The Magistrate or Court may at any time after the person concerned has ceased to be of unsound mind, resume the inquiry or trial and require the accused to appear or be brought before such Magistrate or Court.",
When can the Magistrate or Court resume an inquiry or trial and require the accused to appear or be brought before such Magistrate or Court under section 328 or section 329?,The Magistrate or Court may resume the inquiry or trial and require the accused to appear or be brought before such Magistrate or Court at any time after the person concerned has ceased to be of unsound mind.,
"What happens when the accused has been released under section 330, and the sureties for his appearance produce him to the officer?",The certificate of such officer that the accused is capable of making his defence shall be receivable in evidence.,
"What is receivable in evidence when the accused, who has been released under section 330, is produced by his sureties for appearance and is declared capable of making his defence by the officer?",The certificate of such officer that the accused is capable of making his defence.,
What happens if the accused is capable of making his defence when he appears before the Magistrate or Court?,The inquiry or trial shall proceed.,
What will occur during an inquiry or trial if the accused is capable of making his defence when he appears before the Magistrate or Court?,The inquiry or trial shall proceed.,
What happens if the accused is considered to be still incapable of making his defence?,"The Magistrate or Court shall act according to the provisions of section 328 or section 329, and if the accused is found to be of unsound mind and incapable making his defence, shall deal with such accused in accordance with the provisions of section 330.",
What will the Magistrate or Court do if an accused is found to be of unsound mind and incapable of making his defence?,They shall act according to the provisions of section 328 or section 329 and deal with such accused in accordance with the provisions of section 330.,
What happens when the accused appears to be of sound mind at the time of inquiry or trial?,"If the Magistrate is satisfied from the evidence given before him that there is reason to believe that the accused committed an act, which, if he had been of sound mind, would have been an offence, the process continues as normal.",
What happens if the Magistrate believes from the evidence given that the accused committed an act that would have been an offence had they been of sound mind?,"If the accused appears to be of sound mind at the time of inquiry or trial, then the process continues as normal.",
What does the law state about a person committing an act without understanding it due to unsoundness of mind?,"If a person commits an act at a time when they were incapable of understanding the nature of the act or that it was wrong or contrary to law due to unsoundness of mind, the Magistrate shall proceed with the case. If the accused ought to be tried by the Court of Session, he is committed for trial before the Court of Session.",
"What happens if a person commits an act without understanding it due to an unsound mind, and the accused needs to be tried by the Court of Session?","If a person commits an act at a time when they were incapable of understanding the nature of the act or that it was wrong or contrary to law due to unsoundness of mind, the Magistrate shall proceed with the case. If the accused ought to be tried by the Court of Session, he is committed for trial before the Court of Session.",
What is the judgment of acquittal on the ground of unsoundness of mind?,"Whenever any person is acquitted on the ground that they were incapable of knowing the nature of the act or that it was wrong or contrary to law due to unsoundness of mind at the time of the offence, the finding should specifically state whether they committed the act or not.",
"What should the finding specifically state when a person is acquitted due to unsoundness of mind, and they were incapable of knowing the nature of the act or that it was wrong or contrary to law at the time of the offence?",The finding should specifically state whether they committed the act or not.,
What happens to a person acquitted on the ground of unsoundness of mind but found to have committed the act?,"Whenever the finding states that the accused person committed the act alleged, the Magistrate or Court before whom the trial has been held, shall detain the accused person in safe custody.",
"What does the Magistrate or Court do when it is found that an accused person, who was acquitted on the ground of unsoundness of mind, committed the alleged act?",They detain the accused person in safe custody.,
Who can order the detention of a person in safe custody?,The Magistrate or Court can order the detention of a person in safe custody.,
Who has the authority to detain a person in safe custody?,The Magistrate or Court has the authority to detain a person in safe custody.,
What alternatives does the Magistrate or Court have other than ordering a person's detention?,The Magistrate or Court can order such person to be delivered to any relative or friend of such person.,
"Who can the Magistrate or Court order a person to be delivered to, instead of ordering their detention?",The Magistrate or Court can order such person to be delivered to any relative or friend of such person.,
Under what conditions can an order for the detention of the accused in a lunatic asylum be made?,"An order for the detention of the accused in a lunatic asylum can be made under clause (a) of sub-section (1) only in accordance with such rules as the State Government may have made under the Indian Lunacy Act, 1912.",
Under what law and clause can an order for the detention of the accused in a lunatic asylum be made according to the rules set by the State Government?,"An order for the detention of the accused in a lunatic asylum can be made under clause (a) of sub-section (1) according to the rules set by the State Government under the Indian Lunacy Act, 1912.",
What are the conditions for the delivery of the accused to a relative or friend?,"The delivery of the accused to a relative or friend can be made upon the application of such relative or friend and on his giving security to the satisfaction of the Magistrate or Court that the person delivered shall be properly taken care of and prevented from doing injury to himself or to any other person, and be produced for the inspection of such officer, and at such times and places, as the State Government may direct.",
Who can apply for the delivery of an accused person and what conditions should they meet?,"A relative or friend of the accused can apply for his delivery. They should provide security to the satisfaction of the Magistrate or Court that the accused will be properly taken care of, prevented from doing injury to himself or any other person, and be produced for inspection at the directed times and places by the State Government.",
What power does the State Government have according to section 336?,The State Government can empower the officer in charge of the jail in which a person is confined under the provisions of section 330 or section 335 to discharge all or any of the functions of the Inspector-General of Prisons under section 337 or section 338.,
"Which officer can the State Government empower under the provisions of section 330 or 335, and what are these functions specifically related to?",The State Government can empower the officer in charge of the jail in which a person is confined under the provisions of section 330 or section 335 to discharge all or any of the functions of the Inspector-General of Prisons under section 337 or section 338.,
What is the procedure if a lunatic prisoner is reported capable of making his defence according to section 337?,"If such person is detained under the provisions of sub-section (2) of section 330, and in the case of a person detained in a jail, the Inspector-General of Prisons, or, in the case of a person detained a lunatic asylum, the visitors of such asylum, or any two of them shall certify that, in his or their opinion, such person is capable of making his defence, he shall be taken before the Magistrate or Court, as the case may be, at such time as the Magistrate or Court appoints.",
"Who shall certify that a person detained under section 330 sub-section (2), whether in jail or a lunatic asylum, is capable of making his defence and what happens after such certification?","In the case of a person detained in a jail, the Inspector-General of Prisons, or, in the case of a person detained a lunatic asylum, the visitors of such asylum, or any two of them shall certify that, in his or their opinion, such person is capable of making his defence. After the certification, he shall be taken before the Magistrate or Court, as the case may be, at such time as the Magistrate or Court appoints.",
What happens when the Magistrate or Court reports the action taken under sub-section (1)?,The Magistrate or Court shall report to the State Government the action taken under sub-section (1).,
Who reports to the State Government the action taken under sub-section (1)?,The Magistrate or Court reports to the State Government the action taken under sub-section (1).,
What happens if a person detained under section 330 or 335 is declared fit to be released?,"If such a person is declared fit to be released, the State Government may order him to be released, or to be detained in custody, or to be transferred to a public lunatic asylum if he has not been already sent to such an asylum.",
What can the State Government do if a person detained under section 330 or 335 is declared fit to be released?,"The State Government may order him to be released, or to be detained in custody, or to be transferred to a public lunatic asylum if he has not been already sent to such an asylum.",
What can the State Government do if a person detained is declared fit to be released?,"The State Government can order him to be released, detain him in custody, or transfer him to a public lunatic asylum if he has not been already sent to such an asylum.",
What are the options available for the State Government regarding a person who has been declared fit for release after being detained?,"The State Government can order him to be released, detain him in custody, or transfer him to a public lunatic asylum if he has not been already sent to such an asylum.",
Who decides if the detained person may be released without danger?,The Inspector-General or visitors certify if the person can be released without danger.,
Who certifies if a person can be released without danger?,The Inspector-General or visitors decide if the detained person may be released without danger.,
What can the State Government do if it orders the person to be transferred to an asylum?,"The State Government may appoint a Commission, consisting of a Judicial and two medical officers.",
Who may the State Government appoint when they order a person to be transferred to an asylum?,"The State Government may appoint a Commission, consisting of a Judicial and two medical officers.",
What does the Commission do for a person declared fit to be released?,"The Commission makes a formal inquiry into the state of mind of such a person, takes necessary evidence, and reports to the State Government.",
What is the process undertaken by the Commission for a person declared fit to be released?,"The Commission makes a formal inquiry into the state of mind of such a person, takes necessary evidence, and reports to the State Government.",
What can a relative or friend do if a person is detained under the provisions of section 330 or section 335?,"The relative or friend can apply to the State Government to have the person delivered to their care and custody, provided they give security to the satisfaction of the State Government.",
"Who can apply to the State Government to have a person detained under section 330 or 335 delivered to their care and custody, and what must they provide?","A relative or friend can apply to the State Government to have the person delivered to their care and custody, provided they give security to the satisfaction of the State Government.",
What conditions must be met for a person to be delivered to the care of a relative or friend under section 339?,"The person must be properly taken care of and prevented from doing injury to himself or to any other person, be produced for the inspection of such officer, and at such times and places, as the State Government may direct, and in the case of a person detained under sub-section (2) of section 330, be produced when required before such Magistrate or Court.",
What needs to be done for a person to be delivered to the care of a relative or friend in order to comply with section 339?,"To comply with section 339, the person must be properly taken care of and prevented from doing injury to himself or to any other person, be produced for the inspection of such officer, and at such times and places, as the State Government may direct, and in the case of a person detained under sub-section (2) of section 330, be produced when required before such Magistrate or Court.",
What happens if the person delivered to a relative or friend is accused of an offence?,The trial of the offence will be postponed.,
What happens to the trial of an offence if the person is delivered to a relative or friend?,The trial of the offence will be postponed.,
Who has the authority to order the release or detention of a lunatic?,The State Government has the authority to order the release or detention.,
Who has the authority to order the release or detention of a lunatic?,The State Government,
What happens when the inspecting officer certifies that a person of unsound mind is now capable of making his defence?,"The Magistrate or Court shall call upon the relative or friend to whom such accused was delivered to produce him before the Magistrate or Court. Upon such production, the Magistrate or Court shall proceed in accordance with the provisions of section 332, and the certificate of the inspecting office shall be receivable as evidence.",
What is the procedure when a person previously deemed of unsound mind is certified by the inspecting officer to be capable of making his defence?,"The Magistrate or Court shall call upon the relative or friend to whom such accused was delivered to produce him before the Magistrate or Court. Upon such production, the Magistrate or Court shall proceed in accordance with the provisions of section 332, and the certificate of the inspecting office shall be receivable as evidence.",
What is the procedure when a Court is of opinion that it is expedient in the interests of Justice to make an inquiry into any offence referred to in clause (b) of sub-section (1) of section 195?,The procedure is not specified in the provided text.,
Is the procedure specified in the text when a Court is of opinion that it is expedient in the interests of Justice to make an inquiry into any offence referred to in clause (b) of sub-section (1) of section 195?,"No, the procedure is not specified in the provided text.",
What does Chapter XXVI discuss?,Chapter XXVI discusses provisions as to offences affecting the administration of justice.,
Which chapter discusses provisions as to offences affecting the administration of justice?,Chapter XXVI discusses provisions as to offences affecting the administration of justice.,
"What can the court do after a preliminary inquiry, if any?","(a) record a finding to that effect; (b) make a complaint thereof in writing; (c) send it to a Magistrate of the first class having jurisdiction; (d) take sufficient security for the appearance of the accused before such Magistrate, or if the alleged offence is non-bailable and the Court thinks it necessary so to do, send the accused in custody to such Magistrate; and (e) bind over any person to appear and give evidence before such Magistrate.",
"What steps does a court take after a preliminary inquiry including recording a finding, making a written complaint, sending it to a Magistrate of the first class, taking sufficient security for the appearance of the accused, and binding over any person to appear and give evidence?","After a preliminary inquiry, the court can (a) record a finding to that effect; (b) make a complaint thereof in writing; (c) send it to a Magistrate of the first class having jurisdiction; (d) take sufficient security for the appearance of the accused before such Magistrate, or if the alleged offence is non-bailable and the Court thinks it necessary so to do, send the accused in custody to such Magistrate; and (e) bind over any person to appear and give evidence before such Magistrate.",
What does sub-section (2) state about the power conferred on a court?,"The power conferred on a Court by sub-section (1) in respect of an offence may, in any case where that Court has neither made a complaint under sub-section (1) in respect of that offence nor rejected an application for the making of such complaint, be exercised by the Court to which such former Court is subject.",
Which court can exercise the power conferred by sub-section (1) in respect of an offence if no complaint has been made under sub-section (1) or no application for the making of such a complaint has been rejected?,The Court to which such former Court is subject can exercise the power conferred on it by sub-section (1) in respect of an offence.,
What happens in relation to a proceeding in that Court or a document produced or given in evidence?,"In relation to a proceeding in that Court or, as the case may be, in respect of a document produced or given in evidence, the Court may, after a preliminary inquiry, perform a series of actions such as recording a finding, making a complaint in writing, and others.",
What can the Court do after a preliminary inquiry in relation to a proceeding or a document produced or given in evidence?,"The Court may perform a series of actions such as recording a finding, making a complaint in writing, and others.",
Who should sign a complaint made under this section if the Court making the complaint is a High Court?,Such officer of the Court as the Court may appoint,
Who is appointed by a High Court to sign a complaint made under its section?,Such officer of the Court as the Court may appoint,
Who should sign a complaint made under this section in any other case?,The presiding officer of the Court or by such officer of the Court as the Court may authorise in writing in this behalf.,
Who is authorized to sign a complaint made under this section in any other case?,The presiding officer of the Court or by such officer of the Court as the Court may authorise in writing in this behalf.,
What is the definition of 'Court' in this section?,Court has the same meaning as in section 195,
Where does 'Court' have the same meaning as it does in this section?,In section 195,
"Who can appeal if any Court other than a High Court has refused to make a complaint under sub-section (1) or sub-section (2) of section 340, or against whom such a complaint has been made?",Any person on whose application the complaint was made or refused,
Who is the individual that can make an appeal in case a complaint was made or refused by any Court other than a High Court under sub-section (1) or sub-section (2) of section 340?,Any person on whose application the complaint was made or refused,
What can the superior Court do after receiving an appeal?,"The superior Court may direct the withdrawal of the complaint, or, as the case may be, making of the complaint which such former Court",
"What actions might a superior Court take after an appeal has been received, regarding the complaint?","The superior Court may direct the withdrawal of the complaint, or, as the case may be, making of the complaint which such former Court",
What does section 341 state?,"Section 341 states that any order under this section, and subject to any such order, an order under section 340, is final and cannot be subject to revision.",
Is an order under section 341 final and not subject to revision?,"Yes, section 341 states that any order under this section, and subject to any such order, an order under section 340, is final and cannot be subject to revision.",
What powers does a court have under section 342?,"Under section 342, a court has the power to order costs when dealing with an application made for filing a complaint under section 340 or an appeal under section 341.",
What can a court order when dealing with an application made for filing a complaint under section 340 or an appeal under section 341 according to section 342?,"According to section 342, a court has the power to order costs when dealing with such applications or appeals.",
How should a Magistrate proceed when a complaint is made under section 340 or 341 according to section 343?,"According to section 343, a Magistrate to whom a complaint is made under section 340 or 341 should proceed to deal with the case as if it were instituted on a police report, as far as may be.",
What does section 343 dictate for a Magistrate when dealing with a complaint made under section 340 or 341?,"Section 343 dictates that a Magistrate should proceed to deal with the case as if it were instituted on a police report, as far as may be.",
What should a Magistrate do when it is brought to their notice that an appeal is pending against the decision arrived at in the judicial proceeding?,"When it is brought to the notice of a Magistrate that an appeal is pending against the decision arrived at in the judicial proceeding, the Magistrate, or any other Magistrate to whom the case may have been transferred, should take it into consideration.",
"What should a Magistrate, or any other Magistrate to whom the case may have been transferred, do when an appeal against a decision made in a judicial proceeding is brought to their notice?","When an appeal against a decision arrived at in a judicial proceeding is brought to their notice, the Magistrate or any other Magistrate to whom the case may have been transferred, should take it into consideration.",
What can a Court of Session or Magistrate of the first class do if they believe a witness has knowingly given false evidence?,"The Court of Session or Magistrate of the first class may, if satisfied that it is necessary and expedient in the interest of justice, try the witness summarily for giving false evidence.",
Under what conditions can a Court of Session or Magistrate of the first class try a witness summarily for giving false evidence?,A Court of Session or Magistrate of the first class can try a witness summarily for giving false evidence if they are satisfied that it is necessary and expedient in the interest of justice.,
What happens before a person is tried for giving false evidence?,The offender is given a reasonable opportunity of showing cause why he should not be punished for such offence.,
What opportunity is given to an offender before being tried for giving false evidence?,The offender is given a reasonable opportunity of showing cause why he should not be punished for such offence.,
Can a hearing be adjourned until an appeal is decided?,"Yes, the hearing of the case may be adjourned at any stage until such appeal is decided.",
Can the hearing of the case be adjourned at any stage until an appeal is decided?,"Yes, a hearing can be adjourned until an appeal is decided.",
When can a court decide that a witness should be tried summarily for giving false evidence?,"This decision can be made at the time of delivery of any judgment or final order disposing of any judicial proceeding, if the court expresses an opinion that the witness knowingly or wilfully gave false evidence.",
When can a court express an opinion that a witness knowingly or wilfully gave false evidence and should be tried summarily?,The court can make this decision at the time of delivery of any judgment or final order disposing of any judicial proceeding.,
What is the maximum imprisonment term that can be given according to the text?,Three months,
What is the duration of the maximum prison sentence mentioned in the text?,Three months,
What is the maximum fine that can be given according to the text?,Five hundred rupees,
What is the value of the maximum fine mentioned in the text?,Five hundred rupees,
What procedure should the Court follow in such cases?,The procedure prescribed for summary trials,
What is the procedure that the Court should use in summary trials?,"In such cases, the Court should follow the procedure prescribed for summary trials",
Does this section affect the power of the Court to make a complaint under section 340?,No,
Is the power of the Court to make a complaint under section 340 unaffected by this section?,Yes,
What should the Court of Session or Magistrate of the first class do if an appeal or an application for revision has been preferred or filed against the judgment or order?,They should stay further proceedings of the trial until the disposal of the appeal or the application for revision,
What action is taken by the Court of Session or Magistrate of the first class when an appeal or an application for revision is filed against a judgment or order?,They stay further proceedings of the trial until the disposal of the appeal or the application for revision,
What can the Court do if an offence is committed in its view or presence according to section 345 of the Indian Penal Code?,"The Court may cause the offender to be detained in custody, and may, at any time before the rising of the Court on the same day, take cognizance of the offence and, after giving the offender a reasonable opportunity of showing cause why he should not be punished under this section, sentence the offender to fine not exceeding two hundred rupees, and, in default of payment of fine, to simple imprisonment for a term which may extend to one month, unless such fine be sooner paid.",
What is the procedure and potential punishment for an offender who commits an offence in the view or presence of the Court according to section 345 of the Indian Penal Code?,"The Court may cause the offender to be detained in custody, and may, at any time before the rising of the Court on the same day, take cognizance of the offence and, after giving the offender a reasonable opportunity of showing cause why he should not be punished under this section, sentence the offender to fine not exceeding two hundred rupees, and, in default of payment of fine, to simple imprisonment for a term which may extend to one month, unless such fine be sooner paid.",
What should the Court do in every such case of offence?,"In every such case the Court shall record the fact constituting the offence, with the statement (if any) made by the offender, as well as the finding and sentence.",
"What does the Court do with the fact constituting the offence, the statement made by the offender, and the finding and sentence in every such case of offence?","In every such case the Court should record the fact constituting the offence, with the statement (if any) made by the offender, as well as the finding and sentence.",
What is the maximum fine for an offence committed in the presence of the Court according to section 345 of the Indian Penal Code?,The maximum fine is two hundred rupees.,
"According to section 345 of the Indian Penal Code, how much is the maximum fine for an offence committed in the presence of the Court?",The maximum fine is two hundred rupees.,
What is the maximum term of imprisonment for an offence committed in the presence of the Court according to section 345 of the Indian Penal Code?,"The maximum term of imprisonment is one month, unless the fine is paid sooner.",
What is the duration of imprisonment according to section 345 of the Indian Penal Code if a fine is not paid?,"The duration of imprisonment is one month, unless the fine is paid sooner.",
What does the record show according to the Indian Penal Code (45 of 1860)?,"The record shows the nature and stage of the judicial proceeding in which the Court interrupted or insulted was sitting, and the nature of the interruption or insult.",
"What does 'the nature and stage of the judicial proceeding in which the Court interrupted or insulted was sitting, and the nature of the interruption or insult' refer to in the Indian Penal Code (45 of 1860)?",It refers to what the record shows according to the Indian Penal Code.,
What does section 346 discuss about when a case should not be dealt with under section 345?,"If the Court considers that a person accused of any of the offences referred to in section 345 and committed in its view or presence should be imprisoned otherwise than in default of payment of fine, or that a fine exceeding two hundred rupees should be imposed upon him, or such Court is for any other reason of opinion that the case should not be disposed of under section 345, the Court may forward the case to a Magistrate having jurisdiction to try the same, and may require security to be given for the appearance of such person before such Magistrate.",
"What actions can a Court take if it believes a person accused of offences referred to in section 345 should be imprisoned otherwise than in default of payment of fine, or a fine exceeding two hundred rupees should be imposed on him, or for any other reason, the case should not be disposed of under section 345?","Section 346 discusses that in such circumstances, the Court may forward the case to a Magistrate having jurisdiction to try the same, and may require security to be given for the appearance of such person before the Magistrate.",
What happens if the court decides the case should not be disposed of under section 345?,"The Court may forward the case to a Magistrate having jurisdiction to try the same, and may require security to be given for the appearance of such person before such Magistrate.",
